2025-11-06 15:38:20 [info] L-Connect swap -> MB_on
2025-11-06 16:56:38 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:56:54 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:57:09 [info] hb state=normal cpu=2 gpu=0 game=False
2025-11-06 16:57:24 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:57:39 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:57:55 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:58:10 [info] hb state=normal cpu=11 gpu=0 game=False
2025-11-06 16:58:25 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 16:58:41 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:58:56 [info] hb state=normal cpu=10 gpu=0 game=False
2025-11-06 16:59:11 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:59:27 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:59:42 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:59:57 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:00:12 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 17:00:28 [info] hb state=normal cpu=13 gpu=0 game=False
2025-11-06 17:00:43 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:00:58 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:01:14 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:01:29 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:01:44 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 17:02:00 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 17:02:15 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 17:02:30 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 17:02:45 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:03:01 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 17:03:16 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 17:03:31 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 17:03:47 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 17:04:02 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 17:04:17 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 17:04:32 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:04:48 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 17:05:03 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 17:05:18 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 17:05:34 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:05:49 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 17:06:04 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 17:06:20 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 17:06:35 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:06:50 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:07:05 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 17:07:21 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 17:07:36 [info] hb state=normal cpu=10 gpu=0 game=False
2025-11-06 17:07:51 [info] hb state=normal cpu=10 gpu=0 game=False
2025-11-06 17:08:07 [info] hb state=normal cpu=10 gpu=0 game=False
2025-11-06 17:08:22 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 17:08:37 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 17:08:53 [info] hb state=normal cpu=2 gpu=0 game=False
